"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras do Carrinho de Compras baseadas no atributo ""%s"" foram desativadas."
"%s Coupon(s) have been generated","%s Cupão(ões) foram gerados"
"Actions","Ações"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores"
"FOUND","ENCONTRADO"
"Fixed amount discount","Montante de desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo o carrinho"
"For matching items only","Apenas para itens coincidentes"
"For shipment with matching items","Para envios com itens coincidentes"
"Free Shipping","Envio gratuito"
"From Date","Data início"
"General Information","Informação Geral"
"Generate","Gerar"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s para uma sub-seleção de itens no carrinho e coincidem %s com estas condições"
"If an item is %s in the cart with %s of these conditions true:","Se um item está %s no carrinho com %s das condições verdadeiras:"
"If empty no separation.","Se vazio, sem separação"
"If you select and save the rule you will be able to generate multiple coupon codes.","Se selecionar e guardar a regra, terá oportunidade de gerar múltiplos códigos de cupões."
"Inactive","Inativo"
"Item totals are not set for rule.","Total dos itens não definidos para a regra"
"Labels","Títulos"
"Manage Coupon Codes","Códigos de Cupões Magento"
"Maximum Qty Discount is Applied To","Quantidade Máxima de Desconto Aplicada A"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","Não está ligado"
"New Rule","Nova regra"
"No","Não"
"No Coupon","Sem cupão"
"Not valid data provided","Não foram providenciados dados válidos"
"Number of Uses","Número de utilizações"
"Numeric","Númerico"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Percentagem de desconto sobre o preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Linha total no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","Regra não definida"
"Sales Discount Amount","Montante de Desconto nas Vendas"
"Sales Subtotal Amount","Montante Subtotal nas Vendas"
"Sales Total Amount","Montante Total Vendas"
"Save and Continue Edit","Guardar e Continuar Edição"
"Shipping Country","País de Envio"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código Postal Envio"
"Shipping Region","Região Envio"
"Shipping State/Province","Região Envio"
"Shopping Cart Price Rule","Desconto no carrinho de compras"
"Shopping Cart Price Rules","Descontos no Carrinho de Compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupão Específico"
"Status","Estado"
"Stop Further Rules Processing","Parar Processamento de Outras Regras"
"Store View Specific Labels","Título Específico para Vistas de Lojas"
"Subtotal","Subtotal"
"Subtotal Amount","Montante Subtotal"
"The rule has been deleted.","A regra foi removida"
"The rule has been saved.","A regra foi guardada"
"This rule no longer exists.","Esta regra já não existe."
"Times Used","Número de Utilizações"
"To Date","Data término"
"To Fixed Value","Para valor fixo"
"To Percentage","Para percentagem"
"Total","Total"
"Total Amount","Montante Total"
"Total Items Quantity","Quantidade do total de Itens"
"Total Weight","Peso Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não foi possível criar a quantidade de cupões pedida. Por favor verifique as definições de tente novamente"
"Unable to find a rule to delete.","Não foi possível encontrar a regra a remover"
"Update prices using the following information","Atualizar os preços utilizando a seguinte informação"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o produto"
"Usage limit enforced for logged in customers only","Limite de utilização é apenas para utilizadores registados"
"Use Auto Generation","Utilizar Geração Automática"
"Used","Utilizado"
"Uses per Coupon","Utilizações por Cupão"
"Uses per Customer","Utilizações por Cliente"
"Website","Site"
"Websites","Sites"
"Wrong rule specified.","Regra inválida especificada"
"Yes","Sim"
"total amount","Montante Total"
"total quantity","quantidade total"
